qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,q1_formatted,q1_milliseconds,q2_formatted,q2_milliseconds,q3_formatted,q3_milliseconds
65,20,19,8,19,21,01:34.1,\N,\N,01:34.140,94140,,,,
66,20,11,8,18,22,01:35.7,\N,\N,01:35.725,95725,,,,
67,21,8,6,1,1,01:20.7,01:20.8,01:21.8,01:20.701,80701,01:20.784,80784,01:21.813,81813
68,21,4,4,5,2,01:21.3,01:20.8,01:21.9,01:21.347,81347,01:20.804,80804,01:21.904,81904
69,21,13,6,2,3,01:21.5,01:20.6,01:22.1,01:21.528,81528,01:20.584,80584,01:22.058,82058
70,21,9,2,4,4,01:21.4,01:20.6,01:22.1,01:21.423,81423,01:20.597,80597,01:22.065,82065
71,21,1,1,22,5,01:21.4,01:20.8,01:22.1,01:21.366,81366,01:20.825,80825,01:22.096,82096
72,21,5,1,23,6,01:21.4,01:20.8,01:22.2,01:21.430,81430,01:20.817,80817,01:22.231,82231
73,21,17,9,10,7,01:21.5,01:21.0,01:22.4,01:21.494,81494,01:20.984,80984,01:22.429,82429
74,21,15,7,11,8,01:21.2,01:20.9,01:22.5,01:21.158,81158,01:20.907,80907,01:22.529,82529
75,21,2,2,3,9,01:21.5,01:20.8,01:22.5,01:21.466,81466,01:20.815,80815,01:22.542,82542
76,21,12,4,6,10,01:21.4,01:20.9,01:22.7,01:21.409,81409,01:20.894,80894,01:22.699,82699
77,21,22,11,17,11,01:21.5,01:21.0,\N,01:21.548,81548,01:21.049,81049,,
78,21,6,3,8,12,01:21.7,01:21.1,\N,01:21.690,81690,01:21.117,81117,,
79,21,18,11,16,13,01:21.8,01:21.2,\N,01:21.757,81757,01:21.211,81211,,
80,21,10,7,12,14,01:21.4,01:21.2,\N,01:21.427,81427,01:21.230,81230,,
81,21,3,3,7,15,01:21.5,01:21.3,\N,01:21.472,81472,01:21.349,81349,,
82,21,7,5,14,16,01:21.5,01:21.7,\N,01:21.540,81540,01:21.724,81724,,
83,21,14,9,9,17,01:21.8,\N,\N,01:21.810,81810,,,,
84,21,20,5,15,18,01:22.1,\N,\N,01:22.108,82108,,,,
85,21,21,10,21,19,01:22.5,\N,\N,01:22.516,82516,,,,
86,21,16,10,20,20,01:23.2,\N,\N,01:23.224,83224,,,,
87,21,19,8,19,21,01:23.3,\N,\N,01:23.318,83318,,,,
88,21,11,8,18,22,01:23.5,\N,\N,01:23.496,83496,,,,
89,22,13,6,2,1,01:26.0,01:26.2,01:27.6,01:25.994,85994,01:26.192,86192,01:27.617,87617
90,22,5,1,23,2,01:26.7,01:26.3,01:27.8,01:26.736,86736,01:26.290,86290,01:27.808,87808
91,22,1,1,22,3,01:26.2,01:26.5,01:27.9,01:26.192,86192,01:26.477,86477,01:27.923,87923
92,22,8,6,1,4,01:26.5,01:26.1,01:27.9,01:26.457,86457,01:26.050,86050,01:27.936,87936
93,22,9,2,4,5,01:26.8,01:26.1,01:28.4,01:26.761,86761,01:26.129,86129,01:28.390,88390
94,22,17,9,10,6,01:26.8,01:26.5,01:28.4,01:26.773,86773,01:26.466,86466,01:28.417,88417
95,22,4,4,5,7,01:26.8,01:26.5,01:28.4,01:26.836,86836,01:26.522,86522,01:28.422,88422
96,22,15,7,11,8,01:26.7,01:26.8,01:28.8,01:26.695,86695,01:26.822,86822,01:28.836,88836
97,22,2,2,3,9,01:27.1,01:27.6,01:28.9,01:27.107,87107,01:27.607,87607,01:28.882,88882
98,22,14,9,9,10,01:26.9,01:26.5,01:30.0,01:26.939,86939,01:26.520,86520,01:29.959,89959
99,22,3,3,7,11,01:27.4,01:27.0,\N,01:27.367,87367,01:27.012,87012,,
100,22,22,11,17,12,01:27.4,01:27.2,\N,01:27.355,87355,01:27.219,87219,,
101,22,18,11,16,13,01:27.4,01:27.3,\N,01:27.428,87428,01:27.298,87298,,
102,22,20,5,15,14,01:27.4,01:27.4,\N,01:27.442,87442,01:27.412,87412,,
103,22,10,7,12,15,01:26.6,01:27.8,\N,01:26.614,86614,01:27.806,87806,,
104,22,6,3,8,16,01:27.5,\N,\N,01:27.547,87547,,,,
105,22,12,4,6,17,01:27.6,\N,\N,01:27.568,87568,,,,
106,22,7,5,14,18,01:27.6,\N,\N,01:27.621,87621,,,,
107,22,21,10,21,19,01:27.8,\N,\N,01:27.807,87807,,,,
108,22,16,10,20,20,01:28.3,\N,\N,01:28.325,88325,,,,
109,23,13,6,2,1,01:15.2,01:15.1,01:15.8,01:15.190,75190,01:15.110,75110,01:15.787,75787
110,23,8,6,1,2,01:15.7,01:15.4,01:15.8,01:15.717,75717,01:15.404,75404,01:15.815,75815
111,23,1,1,22,3,01:15.6,01:15.3,01:15.8,01:15.582,75582,01:15.322,75322,01:15.839,75839
112,23,5,1,23,4,01:15.3,01:15.4,01:16.2,01:15.295,75295,01:15.389,75389,01:16.165,76165
113,23,9,2,4,5,01:16.0,01:15.5,01:16.2,01:15.977,75977,01:15.483,75483,01:16.171,76171
